温度,阻抗,功率
24.418,357,0.2
24.8694,347,0.2
24.6249,343,0.1
24.4217,329,0.3
24.3484,357,0.2
24.8575,345,0.2
24.7742,343,0.1
24.6414,328,0.3
24.3631,356,0.2
24.8392,347,0.2
24.7632,348,0.2
24.5224,331,0.3
24.7,357,0.2
25.0058,350,0.2
24.5316,347,0.2
24.4638,332,0.3
24.5911,357,0.2
24.939,348,0.2
24.6332,346,0.2
24.5581,332,0.3
24.6561,357,0.2
25.1257,348,0.2
24.57,346,0.1
24.6313,330,0.3
24.5581,357,0.2
24.8236,347,0.2
24.6909,345,0.1
24.8227,331,0.3
24.494,357,0.2
25.3079,345,0.2
24.6222,344,0.1
24.5251,329,0.3
24.4739,357,0.2
25.0131,346,0.2
24.7742,343,0.1
24.6432,329,0.3
24.5709,357,0.2
24.9591,348,0.2
24.8438,343,0.1
24.6918,329,0.3
24.5755,357,0.2
24.9628,349,0.2
24.8209,343,0.1
24.8026,329,0.3
24.7568,357,0.2
25.166,349,0.2
24.5178,347,0.2
24.7128,329,0.3
24.6854,357,0.2
25.2731,347,0.2
24.7705,346,0.1
24.5169,330,0.3
24.6735,356,0.2
25.2612,347,0.2
24.7687,345,0.2
24.5297,333,0.3
24.6863,357,0.2
24.9536,346,0.2
24.7018,344,0.1
24.9619,331,0.3
24.5389,357,0.2
25.0049,346,0.2
24.9792,344,0.1
24.7339,330,0.3
24.635,357,0.2
25.0287,346,0.2
24.9243,343,0.1
24.9033,330,0.3
24.5728,357,0.2
24.9554,346,0.2
24.8666,343,0.1
24.873,330,0.3
24.7787,357,0.2
25.2457,346,0.2
24.7284,345,0.1
24.5654,329,0.3
24.559,357,0.2
25.2264,348,0.2
24.9298,345,0.2
24.6652,334,0.3
24.6707,357,0.2
24.9435,349,0.2
24.9435,346,0.1
25.0012,333,0.3
24.6213,357,0.2
25.2036,348,0.2
24.9966,345,0.1
24.819,332,0.3
24.6268,357,0.2
25.1184,347,0.2
24.9573,344,0.1
24.9554,332,0.3
24.7989,357,0.2
25.0717,347,0.2
24.7952,344,0.1
24.9811,330,0.3
24.689,357,0.2
25.1852,346,0.2
24.8502,344,0.1
24.9023,329,0.3
24.7156,357,0.2
25.1486,346,0.2
24.8282,344,0.1
24.8438,330,0.3
24.744,357,0.2
25.3381,345,0.2
24.8163,344,0.1
24.6121,329,0.3
24.6094,357,0.2
25.1202,350,0.2
24.8254,344,0.1
25.0552,329,0.3
24.6332,357,0.2
25.145,350,0.2
25.0223,345,0.1
24.9564,331,0.3
24.6652,357,0.2
25.1935,349,0.2
24.9225,344,0.1
25.0909,335,0.3
24.7696,357,0.2
25.1477,349,0.2
24.7879,347,0.1
25.0873,331,0.3
24.6103,357,0.2
25.2347,348,0.2
25.047,345,0.2
25.0232,330,0.3
24.6899,357,0.2
25.4205,347,0.2
24.9188,344,0.1
24.8419,330,0.3
24.7659,357,0.2
25.1898,347,0.2
24.8264,343,0.1
25.1212,329,0.3
24.7119,357,0.2
25.2924,346,0.2
24.9564,343,0.1
24.949,329,0.3
24.8172,357,0.2
25.3738,346,0.2
24.895,343,0.1
24.798,328,0.3
24.6112,357,0.2
25.2054,349,0.2
24.9417,343,0.1
25.1505,328,0.3
24.7916,357,0.2
25.0772,350,0.2
25.0049,345,0.2
25.1221,328,0.3
24.6735,357,0.2
25.405,348,0.2
24.8502,347,0.2
24.8364,332,0.3
24.8712,357,0.2
25.4388,347,0.2
24.9921,345,0.2
24.8511,332,0.3
24.7742,357,0.2
25.2081,347,0.2
24.9939,344,0.1
25.1331,332,0.3
24.7522,357,0.2
25.426,347,0.2
24.9152,345,0.1
25.0177,331,0.3
24.7952,357,0.2
25.3491,345,0.2
24.9298,344,0.1
25.0607,329,0.3
24.8749,357,0.2
25.2466,345,0.2
24.9289,343,0.1
25.0864,329,0.3
24.6149,357,0.2
25.3564,347,0.2
25.1266,343,0.1
25.0085,328,0.3
24.7321,357,0.2
25.4507,350,0.2
25.1285,348,0.2
25.1266,329,0.3
24.7797,357,0.2
25.2585,351,0.2
25.0497,347,0.2
25.0397,330,0.3
24.6515,357,0.2
25.3693,347,0.2
25.1614,345,0.1
25.0598,333,0.3
24.7769,357,0.2
25.3409,346,0.2
25.08,344,0.1
25.1569,330,0.3
24.9042,357,0.2
25.21,347,0.2
24.9408,345,0.1
25.2063,330,0.3
24.9207,357,0.2
25.1175,347,0.2
25.015,343,0.1
25.2036,330,0.3
24.8703,357,0.2
25.3134,346,0.2
24.971,344,0.1
25.1724,330,0.3
24.8346,357,0.2
25.318,346,0.2
24.9756,343,0.1
25.1184,329,0.3
24.8538,357,0.2
25.2283,348,0.2
24.8822,345,0.1
25.3189,329,0.3
25.4297,357,0.2
25.2585,351,0.2
24.8611,345,0.2
25.2621,330,0.3
24.8053,357,0.2
25.4059,349,0.2
24.9719,350,0.2
24.9994,333,0.3
24.9252,357,0.2
25.4626,348,0.2
24.9408,345,0.1
25.1715,332,0.3
24.8163,357,0.2
25.5295,347,0.2
25.0864,345,0.1
24.8868,331,0.3
24.7449,356,0.2
25.5899,346,0.2
25.1807,344,0.1
25.058,331,0.3
24.9435,357,0.2
25.3528,346,0.2
24.8492,344,0.1
25.2219,330,0.3
